Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7728.507914,7733.990048,7464.86568,7842.411925,8148.344073,8537.0619,9069.137645,9549.795369,10727.46413,11200.43824,11568.49594,11513.82936,11675.35094,12028.37193,12868.86309,14223.65813,15645.99903,16462.24711,16570.55935,16523.38297,15906.18932,15534.1733,15385.11637,15473.09806,15360.0618,15429.34046,
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,13701.89704,14002.10713,15381.31391,14678.07159,14220.63634,16046.98158,16913.93536,16779.33847,12784.76622,14205.77372,18154.83493,16616.79805,17016.94349,18758.98089,22131.94606,26337.91811,31157.68845,32707.70431,37798.3935,27726.48105,34852.02398,46377.88114,46973.93793,43970.53194,41023.88988,30554.72967,
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,559.8216186,467.65687,474.9128636,453.3890923,529.5484886,595.5104134,617.5547709,702.5389844,706.5620391,764.1242599,778.391266,820.2028589,897.4453332,1009.006232,1107.920596,1257.54864,1346.085775,1755.161709,1810.576177,1786.810672,2201.293078,2485.787052,2452.151588,2383.04473,2560.522132,2655.998892,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,2747.157988,2776.423062,2839.196963,2772.732774,2767.35374,3001.102631,3007.613623,3050.233587,2854.673402,3210.23188,3333.17955,3114.616594,3044.127353,4149.041377,4879.459462,5327.853518,5342.140336,5666.637848,5561.898243,5115.121464,6243.998831,7504.848476,6885.843598,6806.658939,7153.447859,6360.13822,
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,490.3995176,457.4552983,457.0583079,403.2931149,261.6021372,334.3654767,294.9204314,268.0862195,270.4307455,273.5813579,245.4343849,245.5632726,256.8506088,290.5096583,318.4837946,332.9466401,353.8944517,404.1131819,463.8276186,454.3693169,446.8002046,488.3573422,472.8182181,322.3665933,354.4519011,323.201674,
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,21371.2911,21664.59864,20771.25035,20017.42985,19859.20398,20577.48939,21183.22008,21770.13408,20887.83947,22167.22585,24124.16917,23691.59472,24167.80431,28172.14883,31979.87195,36189.58838,40386.69948,44544.5268,46596.33599,40773.45436,47445.76193,52083.82622,52496.69487,52413.72116,50440.43376,43315.70044,
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,2312.627681,2199.934574,2361.907068,2488.294564,2824.066219,3512.905768,3766.13713,3735.598237,4097.242898,3977.487127,3943.98781,4342.857279,4922.109767,5941.171617,7161.448117,8342.43635,9461.098713,11951.68719,14489.15052,12197.87376,12557.38267,13885.16637,12996.08822,13704.51064,14126.20437,12412.98098,
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,38332.15172,38303.04989,39435.53813,38005.32345,41738.97019,48540.57749,46610.05975,40429.93726,41487.69019,40577.33663,37813.23426,38538.64447,41336.72192,47960.56497,53255.97631,54797.54663,57348.92788,63223.46778,72119.56087,69672.00471,74277.12051,88002.60957,83164.38795,84658.88768,85814.58857,80999.28742,
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,40538.06446,42406.93285,43299.40114,41609.01948,44158.04026,48227.66551,55844.11669,57209.24916,62260.22555,73568.23483,,,,,,,,,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2401.525181,2727.573825,3277.669086,3461.435092,3942.967594,5026.720634,5263.191366,5674.153008,5367.211824,4872.692148,5229.177098,4709.9234,4566.523326,4948.74818,6323.75764,7728.611897,9500.835162,10513.54071,10791.02019,10217.31403,12785.05187,14582.17052,15253.33083,15764.75545,14566.14905,13416.23004,
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,317.8851981,333.1417146,366.4602759,377.3895183,473.4927622,609.6567653,709.4134628,781.743728,828.5804103,873.2872953,959.3721081,1053.108024,1148.508057,1288.642924,1508.668462,1753.4178,2099.229676,2695.366223,3471.247547,3838.434292,4560.512487,5633.796106,6337.882993,7077.770594,7683.502038,8069.211938,
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,887.3854068,832.6844214,854.8364234,818.2228303,595.7925412,763.6689247,817.3361967,766.3339328,801.8595646,766.9336227,648.8107641,663.6413459,718.453113,875.0860951,929.893384,942.2163849,962.9184427,1078.541502,1257.675582,1233.304856,1236.085198,1231.867834,1281.382865,1445.910582,1544.321337,1398.989958,
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,923.8812243,1000.326541,890.5636811,1027.567353,680.6371437,626.9560402,679.7651939,668.972082,637.3608604,675.9238649,583.0948382,589.2039195,648.3996054,791.1064754,892.8987777,915.0912877,965.3686883,1070.954675,1191.709554,1164.717254,1147.242347,1258.924651,1222.192142,1331.200021,1407.403413,1217.26067,
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,267.421309,250.2936729,217.1888358,272.3592674,142.6424306,133.7827162,132.906283,136.693593,136.1636482,100.6932432,397.264871,150.4213805,171.2340121,169.9085913,189.5887135,213.310459,246.8028136,273.4864797,310.7310244,286.0481803,311.247896,350.2706542,390.7066035,413.6957984,437.8149312,456.0527405,
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,1172.757072,1112.128364,1166.334463,743.410575,667.6941418,777.5775374,908.7216322,808.2852124,660.1673277,776.3632945,1035.584462,877.626394,927.2695886,1049.317595,1362.198833,1737.611546,2144.834943,2259.269413,3094.10972,2428.260233,2953.185008,3453.221229,3191.164299,3205.457783,3147.071524,1851.199916,
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,1175.149339,1181.081508,1385.866438,1541.712284,2218.784589,2470.683425,2553.549558,2759.95289,2509.139825,2164.432929,2472.19777,2395.856551,2355.725743,2246.257686,2740.249827,3386.025444,3709.076914,4674.21171,5433.706412,5148.411344,6250.6545,7227.77083,7885.061292,8030.690861,7918.0789,6056.147717,
